01:32:55 select cash from memb_info where memb_guid = 8
01:44:42 Load Cash Item List, Type : ;, Index : Group, Amount : Index, UseTime : Amount, Category : Time, Price : Sellhow,SPOP : BuyType
01:44:42 Load Cash Item List, Type : 13, Index : 43, Amount : 0, UseTime : 1440, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 13, Index : 44, Amount : 0, UseTime : 1440, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 13, Index : 45, Amount : 0, UseTime : 1440, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 78, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 79, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 80, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 81, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 82, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 72, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 73, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 74, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 75, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 76, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 14, Index : 77, Amount : 0, UseTime : 43200, Category : 0, Price : 100,SPOP : 1
01:44:42 Load Cash Item List, Type : 0, Index : 1, Amount : 0, UseTime : 0, Category : 1, Price : 5,SPOP : 0
01:44:42 Load Cash Item List, Type : 0, Index : 2, Amount : 0, UseTime : 0, Category : 1, Price : 10,SPOP : 0
