//Nº	Name					State	T.Clas	Rate	Regene	Target	X	Y
0
1	"General condition 01"			0	1	100	1000	-1	-1	-1
2	"An item table moves 01"		1	12	100	1000	2	121	36
3	"Test attack"				2	21	100	300	2	-1	-1
4	"Avoids - becomes a fugitive"		4	41	100	300	2	-1	-1
5	"Self- treatment"			3	31	100	300	2	-1	-1
6	"The group summons"			6	62	100	300	2	-1	-1
7	"Group therapy"				3	32	100	300	2	-1	-1
8	"Group migration"			1	13	100	300	2	-1	-1
9	"Specific position attack"		2	22	100	300	2	121	36
11	"1 goal moves 1-1"			1	12	100	1000	2	128	45
12	"1 goal moves 1-2"			1	12	100	1000	2	109	42
13	"1 goal moves 1-3"			1	12	100	1000	2	123	84
14	"1 goal moves 1-4"			1	12	100	1000	2	119	87
15	"1 goal moves 2-1"			1	12	100	1000	2	105	32
16	"1 goal moves 2-2"			1	12	100	1000	2	89	32
17	"1 goal moves 2-3"			1	12	100	1000	2	83	29
18	"1 goal moves 2-4"			1	12	100	1000	2	65	34
19	"1 goal moves 3-1"			1	12	100	1000	2	136	38
20	"1 goal moves 3-2"			1	12	100	1000	2	134	19
21	"1 goal moves 3-3"			1	12	100	1000	2	177	37
22	"1 goal moves 3-4"			1	12	100	1000	2	179	33
31	"1 goal moves 1-1"			1	12	100	1000	2	126	35
32	"1 goal moves 1-2"			1	12	100	1000	2	125	27
33	"1 goal moves 1-3"			1	12	100	1000	2	121	19
34	"1 goal moves 1-4"			1	12	100	1000	2	119	87
35	"1 goal moves 2-1"			1	12	100	1000	2	120	38
36	"1 goal moves 2-2"			1	12	100	1000	2	115	32
37	"1 goal moves 2-3"			1	12	100	1000	2	109	40
38	"1 goal moves 2-4"			1	12	100	1000	2	65	34
39	"1 goal moves 3-1"			1	12	100	1000	2	117	27
40	"1 goal moves 3-2"			1	12	100	1000	2	117	37
41	"1 goal moves 3-3"			1	12	100	1000	2	131	31
42	"1 goal moves 3-4"			1	12	100	1000	2	179	33
51	"1-1 The specific position attacks"	2	22	100	300	2	121	52
52	"1-2 The specific position attacks"	2	22	100	300	2	120	35
53	"2-1 The specific position attacks"	2	22	100	300	2	101	31
54	"2-2 The specific position attacks"	2	22	100	300	2	117	31
55	"3-1 The specific position attacks"	2	22	100	300	2	141	32
56	"3-2 The specific position attacks"	2	22	100	300	2	125	31
60	"Invincible"				6	64	100	1000	-1	-1	-1
61	"Generally attacks "			2	21	100	1000	1	-1	-1
62	"Fast attacks"				2	21	100	800	1	-1	-1
63	"Completely fast attacks"		2	21	100	100	1	-1	-1
64	"The rubber copies meat"		2	23	100	300	1	-1	-1
65	"Generally moves"			1	11	100	100	1	-1	-1
66	"Sings fishes flutters the high bank.."	6	64	100	1000	-1	2	2
67	"Generally moves"			1	11	100	100	1	-1	-1
68	"Generally attacks "			2	21	100	1000	1	-1	-1
69	"Summons"				6	65	100	1000	1	-1	-1
70	"Yearns for the body 1"			6	66	100	1000	1	79	100
71	"Yearns for the body 2"			6	66	100	1000	1	78	124
72	"Yearns for the body 3"			6	66	100	1000	1	78	141
73	"Attack pattern 1"			2	67	100	1000	60	40	0
74	"Attack pattern 2"			2	67	100	1000	40	60	0
75	"Attack pattern 3"			2	67	100	1000	30	30	40
76 	"Attack pattern 4"			2	67	100	1000	30	20	50
77 	"AI change 1"				7	68      100     1000	23	1 	-1
78  	"AI change 2"				7	68      100     1000 	23 	2  	-1
79  	"AI change 3"				7	68      100     1000 	23 	3  	-1
end
